created_date,job_title,company,salary,address,link_description,time,job_description
2025-11-12,Kỹ Sư Cơ Điện - Lương Từ 13 Đến 18 Triệu (Hồ Chí Minh),CÔNG TY TNHH KỸ NGHỆ VIỆT NAM,13 - 18 triệu,Hồ Chí Minh: Phường Thạnh Mỹ Tây,https://www.topcv.vn/viec-lam/ky-su-co-dien-luong-tu-13-den-18-trieu-ho-chi-minh/1949147.html?ta_source=JobSearchList_LinkDetail,,
2025-11-12,Nhân Viên Điều Dưỡng Dụng Cụ (Không Yêu Cầu Kinh Nghiệm),CÔNG TY CỔ PHẦN BỆNH VIỆN ĐA KHOA QUỐC TẾ NAM AN,10 - 20 triệu,Hồ Chí Minh: Phường Vườn Lài,https://www.topcv.vn/viec-lam/nhan-vien-dieu-duong-dung-cu-khong-yeu-cau-kinh-nghiem/1949747.html?ta_source=JobSearchList_LinkDetail,,
2025-11-13,Kỹ Sư Cơ Điện (Thu Nhập 12-25M/Tháng) - Không Yêu Cầu Kinh Nghiệm,Công ty Cổ phần Công nghệ BEE Toàn cầu,10 - 25 triệu,Hà Nội: Phường Từ Liêm,https://www.topcv.vn/viec-lam/ky-su-co-dien-thu-nhap-12-25m-thang-khong-yeu-cau-kinh-nghiem/1949884.html?ta_source=JobSearchList_LinkDetail,,
2025-11-13,Trưởng Phòng Kinh Doanh - Thu Nhập Từ 30 Đến 40 Triệu  (Hỗ Trợ Ăn Trưa Và Trang Thiết Bị Làm Việc) T...,CÔNG TY TNHH UNIMAX VINA,30 - 40 triệu,Hồ Chí Minh: Phường Tân Hưng,https://www.topcv.vn/viec-lam/truong-phong-kinh-doanh-thu-nhap-tu-30-den-40-trieu-ho-tro-an-trua-va-trang-thiet-bi-lam-viec-tai-ho-chi-minh/1950542.html?ta_source=JobSearchList_LinkDetail,,
2025-11-13,Trưởng Phòng Marketing Vận Hành Sàn TMĐT - Thu Nhập Upto 35 Triệu+++  (Hỗ Trợ Ăn Trưa Và Trang Thiết...,CÔNG TY TNHH UNIMAX VINA,25 - 35 triệu,Hồ Chí Minh: Phường Tân Hưng,https://www.topcv.vn/viec-lam/truong-phong-marketing-van-hanh-san-tmdt-thu-nhap-upto-35-trieu-ho-tro-an-trua-va-trang-thiet-bi-lam-viec-tai-ho-chi-minh/1950629.html?ta_source=JobSearchList_LinkDetail,,
2025-11-13,Nhân Viên Kỹ Thuật Điện Nhẹ Camera CCTV,CÔNG TY TNHH THƯƠNG MẠI MEDIA CCTV BẮC NINH,10 - 20 triệu,"Bắc Ninh: Phường Võ Cường, Phường Quế Võ",https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-dien-nhe-camera-cctv/1950675.html?ta_source=JobSearchList_LinkDetail,,
2025-11-10,Quản Lý Cửa Hàng / Cửa Hàng Trưởng,CÔNG TY CỔ PHẦN VUA NỆM,Thoả thuận,Hà Nội: Phường Cầu Giấy và 2 nơi khác:Hải Phòng: Phường Lê Thanh Nghị,https://www.topcv.vn/viec-lam/quan-ly-cua-hang-cua-hang-truong/1946160.html?ta_source=JobSearchList_LinkDetail,,
2025-11-11,Nhân Viên Kinh Doanh HCM - Thu Nhập Upto 25 Triệu,Công Ty TNHH E.I.G,Thoả thuận,Hồ Chí Minh: Bình Tân,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-hcm-thu-nhap-upto-25-trieu/1946265.html?ta_source=JobSearchList_LinkDetail,,
2025-11-11,Nhân Viên Kế Toán – Tài Chính – Marketing Tổng Hợp,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI NUTRI VIỆT NAM,10 - 16 triệu,Hồ Chí Minh: Quận 12,https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-tai-chinh-marketing-tong-hop/1946288.html?ta_source=JobSearchList_LinkDetail,,
2025-11-13,Kế Toán Trưởng - Đi Làm Ngay Tại Hồ Chí Minh,CÔNG TY TNHH TM DƯỢC PHẨM KHANG TÍN,Thoả thuận,Hồ Chí Minh: Phường Bảy Hiền,https://www.topcv.vn/viec-lam/ke-toan-truong-di-lam-ngay-tai-ho-chi-minh/1946299.html?ta_source=JobSearchList_LinkDetail,,
2025-11-13,LĐPT Đứng Máy - Đóng Gói - Nam| Thu Nhập 8 - 12 Triệu | Không Yêu Cầu Kinh Nghiệm - Quận 12,CÔNG TY TNHH QUÀ TẶNG HƯNG VIỆT MỸ,8 - 12 triệu,Hồ Chí Minh: Phường Đông Hưng Thuận,https://www.topcv.vn/viec-lam/ldpt-dung-may-dong-goi-nam-thu-nhap-8-12-trieu-khong-yeu-cau-kinh-nghiem-quan-12/1946919.html?ta_source=JobSearchList_LinkDetail,,
2025-11-11,"Quản Lý Marketing Thương Hiệu (Brand Marketing Manager - Trên 5 Năm KN) Lương 2,000 -3,500 USD - Đi...",CÔNG TY CỔ PHẦN THƯƠNG MẠI TÓC MÂY,"2,000 - 3,500 USD",Hà Nội: Phường Cầu Giấy:Hồ Chí Minh: Phường An Phú,https://www.topcv.vn/viec-lam/quan-ly-marketing-thuong-hieu-brand-marketing-manager-tren-5-nam-kn-luong-2-000-3-500-usd-di-lam-ngay/1947015.html?ta_source=JobSearchList_LinkDetail,,
2025-11-11,Phụ Bếp Bánh Ca Đêm - Đi Làm Ngay- Tại Hồ Chí Minh,Paris Baguette,9.5 - 10.5 triệu,Hồ Chí Minh: Quận 3,https://www.topcv.vn/viec-lam/phu-bep-banh-ca-dem-di-lam-ngay-tai-ho-chi-minh/1947574.html?ta_source=JobSearchList_LinkDetail,,
2025-11-11,Giảng Viên Y Dược / Giáo Viên Cơ Hữu,Trường Cao đẳng Công nghệ Y- Dược Việt Nam,Từ 10 triệu,Hồ Chí Minh: Hà Nội: Đà Nẵng,https://www.topcv.vn/viec-lam/giang-vien-y-duoc-giao-vien-co-huu/1947630.html?ta_source=JobSearchList_LinkDetail,,
2025-11-14,"Phụ Trách QA [Hà Nội] - Thu Nhập Cạnh Tranh, Hỗ Trợ Chi Phí Học Ngoại Ngữ, Cơ Hội Công Tác Tại Hàn",Văn phòng đại diện NSTAGE INC tại thành phố Hà Nội,Thoả thuận,Hà Nội: Phường Yên Hòa,https://www.topcv.vn/viec-lam/phu-trach-qa-ha-noi-thu-nhap-canh-tranh-ho-tro-chi-phi-hoc-ngoai-ngu-co-hoi-cong-tac-tai-han/1947685.html?ta_source=JobSearchList_LinkDetail,,
2025-11-11,NHÂN VIÊN PHỤC VỤ (Banquet/Fine Dining),Công ty Cổ phần IN Hospitality,6.5 - 8 triệu,Hồ Chí Minh: Quận 1,https://www.topcv.vn/viec-lam/nhan-vien-phuc-vu-banquet-fine-dining/1947859.html?ta_source=JobSearchList_LinkDetail,,
